title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win,cast_row_count,maj_academy_awards_usa_noms,maj_academy_awards_usa_wins,maj_bafta_awards_noms,maj_bafta_awards_wins,maj_golden_globes_usa_noms,maj_golden_globes_usa_wins,maj_actor_awards_noms,maj_actor_awards_wins,maj_directors_guild_of_america_usa_noms,maj_directors_guild_of_america_usa_wins,maj_writers_guild_of_america_usa_noms,maj_writers_guild_of_america_usa_wins,maj_pga_awards_noms,maj_pga_awards_wins,maj_critics_choice_awards_noms,maj_critics_choice_awards_wins,maj_film_independent_spirit_awards_noms,maj_film_independent_spirit_awards_wins,maj_satellite_awards_noms,maj_satellite_awards_wins,grp_prediction_online_noms,grp_prediction_online_wins,grp_us_regional_critics_noms,grp_us_regional_critics_wins,grp_national_critics_noms,grp_national_critics_wins,grp_international_film_noms,grp_international_film_wins,grp_major_festival_noms,grp_major_festival_wins,grp_television_noms,grp_television_wins,grp_audience_pop_noms,grp_audience_pop_wins,grp_genre_noms,grp_genre_wins,grp_voice_or_animation_noms,grp_voice_or_animation_wins,grp_negative_noms,grp_negative_wins,grp_other_noms,grp_other_wins
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=ev_csegosc_nom,2015,1,0,1,0,0,0,1,1,1,1,1,124,7,0,9,0,4,2,8,7,0,0,2,0,0,0,6,3,4,2,5,3,41,18,93,101,22,36,10,5,1,22,34,7,17,3,19,4,3,0,1,0,45,44
American Sniper,https://www.imdb.com/title/tt2179136/?ref_=ev_csegosc_nom,2015,0,0,0,0,0,0,1,0,0,0,0,145,5,1,6,0,7,0,6,2,2,3,1,0,5,1,5,0,2,0,4,2,21,4,35,17,15,12,7,5,6,23,12,10,22,7,8,0,5,3,1,2,58,91
Boyhood,https://www.imdb.com/title/tt1065073/?ref_=ev_csegosc_nom,2015,1,1,1,1,1,1,1,0,1,0,0,107,4,1,1,1,3,1,5,1,0,0,2,0,0,0,2,3,3,1,3,1,24,7,58,25,12,13,2,1,6,5,10,3,5,2,6,0,0,0,1,0,28,13
The Imitation Game,https://www.imdb.com/title/tt2084970/?ref_=ev_csegosc_nom,2015,1,0,1,0,1,0,1,0,1,0,0,84,3,0,7,0,5,0,12,1,0,0,0,0,0,0,4,1,0,0,8,2,26,5,45,6,14,3,18,6,4,15,27,7,8,5,7,1,2,2,0,0,31,26
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=ev_csegosc_nom,2015,1,0,1,0,0,0,1,0,1,0,0,101,17,4,17,5,22,4,38,2,2,1,1,0,1,1,18,1,10,6,20,5,97,19,184,155,85,35,31,15,22,77,76,22,27,4,40,9,2,0,9,0,115,95
Selma,https://www.imdb.com/title/tt1020072/?ref_=ev_csegosc_nom,2015,1,0,0,0,1,0,0,0,0,0,0,142,5,4,9,2,12,3,24,3,0,0,1,0,1,2,6,2,13,1,11,6,35,7,59,41,26,6,6,2,12,42,64,18,52,14,5,1,2,1,9,0,63,60
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=ev_csegosc_nom,2015,1,0,1,0,1,0,1,0,1,0,0,119,5,3,15,3,10,1,8,2,0,0,0,0,0,0,3,1,1,1,5,1,14,2,57,11,18,15,16,8,1,14,19,6,4,0,8,0,0,0,1,0,18,19
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=ev_csegosc_nom,2015,1,0,0,0,0,0,1,0,0,0,0,57,0,1,1,1,4,1,7,1,0,0,0,0,0,0,1,1,2,1,2,1,7,6,7,24,2,6,0,1,1,7,18,5,1,0,5,1,0,0,0,0,9,11
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=ev_nom,2014,1,1,1,1,1,1,1,1,1,0,1,102,6,2,9,2,17,3,23,12,0,0,0,0,0,0,8,4,8,8,14,3,85,21,154,97,36,26,19,9,6,26,40,22,24,4,18,2,2,2,5,1,82,87
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0,260,8,3,6,2,10,4,13,6,6,0,0,1,3,0,3,4,5,8,8,1,77,17,112,43,28,18,11,2,24,40,52,14,24,13,13,8,2,1,4,2,83,80
American Hustle,https://www.imdb.com/title/tt1800241/?ref_=ev_csegosc_nom,2014,1,0,1,0,0,0,1,0,1,1,0,217,12,2,9,1,6,3,12,15,2,0,1,1,1,0,7,1,6,3,11,4,51,22,122,95,39,36,11,5,7,42,37,15,30,8,17,6,0,0,3,1,90,91
Nebraska,https://www.imdb.com/title/tt1821549/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0,42,4,0,2,0,6,1,3,0,0,0,1,0,0,0,3,0,3,1,2,1,9,0,47,3,5,5,0,0,1,17,16,0,0,0,0,1,2,0,1,0,21,8
Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,0,0,0,0,83,5,2,5,1,5,0,10,0,0,0,0,0,0,4,4,0,5,2,5,1,25,0,39,10,16,9,4,1,3,9,12,0,5,3,7,4,2,0,0,1,27,35
Philomena,https://www.imdb.com/title/tt2431286/?ref_=ev_csegosc_nom,2014,0,0,1,0,1,0,0,0,0,0,0,87,7,0,7,2,6,1,7,0,0,0,0,0,0,0,6,0,1,1,6,1,15,2,32,7,18,4,9,3,0,6,18,8,0,0,7,0,1,0,1,1,33,32
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,1,0,0,93,2,2,0,0,4,3,9,4,0,0,1,0,0,0,2,3,2,6,4,4,28,6,28,31,8,5,2,0,2,10,24,11,17,3,6,4,0,0,0,1,24,25
