award_show,count
Manhattan Film Festival,8
"Max Movie Awards, South Korea",8
"Milledgeville-Eatonton Film Festival, US",8
Molodist Kyiv International Film Festival,8
Nantucket Film Festival,8
New York Cinematography Awards,8
New York City Independent Film Festival,8
New York VisionFest,8
North Europe International Film Festival,8
"Out on Film, Atlanta, US",8
Point Lookout Film Festival,8
Red Moon Film Festival,8
Red Movie Award,8
Richmond International Film Festival,8
Sacramento International Film Festival,8
Santa Fe Film Festival,8
Sittannavasal International Film Festival,8
Southampton International Film Festival,8
Stranger Days Independent Film Festival,8
The Actors of China,8
UK Music Video Awards: UKMVA,8
Vancouver Badass Film Festival,8
Virginia Film Festival,8
Weibo Awards Ceremony,8
Wiki: The World's Fastest Screenplay Contest,8
"Williamsburg Independent Film Festival, US",8
Yorkton Film Festival,8
iDEAL International Film Festival,8
ACCEC Awards,7
All American High School Film Festival,7
Australian Screen Industry Network Awards,7
Baltimore Next Media Web Fest,7
Beijing International Film Festival,7
BendFilm Festival,7
Bentonville Film Festival,7
Bratislava International Film Festival,7
Brazilia Festival of Brazilian Cinema,7
British LGBT Awards,7
British Screenwriters' Awards,7
Brooklyn Horror Film Festival,7
Canadian Cinematography Awards,7
Changing Face International Film Festival,7
Chinese Film Media Awards,7
Christian Film Festival,7
Creation International Film Festival,7
Cult Movies International Film Festival,7
Dona Paula International Film Awards,7
Elegant International Film Festival,7
Eyegore Awards,7
Fancine - Fantastic Film Festival of Málaga,7
Film Olympics,7
Filming Italy Venice Award,7
Filmzen International Competition,7
First Contact Film Festival,7
Flaiano International Prizes,7
Flickerfest International Short Film Festival,7
Genre Celebration Festival,7
Global Nonviolent Film Festival,7
Guild of German Art House Cinemas,7
Gémeaux Awards,7
Hollywood On The Tiber Film Awards,7
Hundred Flowers Awards,7
I Filmmaker International Film Festival,7
"Imagine Magazine Imaginnaire Awards, US",7
Indian Film Festival Of Melbourne,7
Indie Shorts Awards New York,7
Indy Shorts International Film Festival,7
International Film Festival of Wales,7
Jelly Film Festival,7
José María Forqué Awards,7
Key West Film Festival,7
Kodaikanal International Film Festival,7
LA Indie Film Fest,7
"Los Angeles Brazilian Film Festival, US",7
Luleå International Film Festival,7
Lëtzebuerger Filmpräis,7
Made In The West Film Festival,7
Madrid International Movie Awards,7
Massachusetts Independent Film Festival,7
Maui Film Festival,7
Miami Web Fest,7
Moondance International Film Festival,7
Museum of Modern Art Film Benefit,7
"Myrtle Beach International Film Festival, US",7
Neuchâtel International Fantastic Film Festival,7
New Jersey Web Festival,7
New York Emmy Awards,7
Nikkan Sports Film Awards,7
Nobel Prize,7
Ole Awards,7
Other Venice Film Festival,7
Parajanov-Vartanov Institute Awards,7
Pinnacle Film Awards,7
Prix Romy Schneider,7
Realscreen Awards,7
Reels International Film Festival,7
Rock and Roll Hall of Fame,7
Roma Short Film Festival,7
Slamdance Film Festival,7
South America Awards,7
St. Louis Walk of Fame,7
Swedish International Film Festival,7
Swiss Film Prize,7
Symbiotic Film Festival,7
"The 48 Hour Film Project, Los Angeles - Holiday Edition",7
The International Horror Hotel,7
Times of India Film Awards,7
