award_show,count
"La Jolla International Fashion Film Festival, US",1
La Pellicola d'Oro,1
La Silla,1
Lago Film Festival,1
Lake Charles Film Festival,1
Lake County Film Festival,1
Lake View International Film Festival,1
Las Cruces International Film Festival,1
Las Vegas Global Film Festival,1
Las Vegas Independent Film Festival,1
Latvian National Film Festival,1
Leeds International Film Festival,1
Leiden International Film Festival,1
LensFame International Film Festival,1
Les 12 Courts de Minuit,1
Les Gérard de la télévision,1
Les Rimbaud du Cinéma,1
Lifft India Filmotsav,1
"Lift-Off Film Festival, Amsterdam",1
"Lift-Off Film Festival, Paris",1
"Lift-Off Film Festival, Sydney",1
LightReel Film Festival,1
Lighthouse International Film Festival,1
Lily Indie Film Festival,1
"LiteraVision, DE",1
Little Wing Film Festival,1
Liverpool Indie Awards,1
Logo NewNowNext Awards,1
London Festival International,1
London Film & Television Festival (LFTF),1
London Independent Film Festival,1
London International Film Festival,1
London International Filmmaker Festival,1
London International Short Film Festival,1
London Sci-Fi Film Festival,1
London Short Series Fest,1
London Shorts,1
Lonely Seal Film festival,1
"Long Beach International Film Festival, Pasadena",1
Long Key International Film Awards,1
Los Angeles CINEVERSE Film Festival,1
Los Angeles Comedy Festival,1
Los Angeles DIY Film Festival,1
Los Angeles Film Forum Awards,1
Los Angeles Film Review Independent Film Awards,1
Los Angeles Greek Film Festival (LAGFF),1
Los Angeles IFP/West Film Festival,1
Los Angeles Indian Film Festival,1
Los Angeles Latino International Film Festival,1
Los Angeles Music Video Festival,1
Los Angeles Nollywood Film Awards,1
Los Angeles Pan African Film Festival,1
Los Angeles Screenplay Contest,1
Los Angeles Silver Lake Film Festival,1
Los Angeles Stars Film Festival,1
Los Angeles Underground Film Festival,1
Loudoun Arts Film Festival,1
Louisville LGBT Film Festival,1
Love International Film Festival,1
Lucca Film Festival,1
Lugo Film Week,1
Luminous Frames,1
MICMX Festival Internacional de Cine,1
MOTELx - Festival Internacional de Cinema de Terror de Lisboa,1
"MTV Movie Awards, Russia",1
MTV Russia Music Awards,1
Mabig Film Festival,1
Macabro:International Horror Film Festival of Mexico City,1
Madrid Film Awards,1
Magnolia Independent Film Festival,1
Malter Vándor Filmfesztivál,1
Mannheim Arts and Film Festival,1
MarCom Awards,1
Mardi Gras Film Festival,1
Marin County International Festival of Short Film & Video,1
Maringa Film Festival,1
Mashable Open Web Awards,1
Matrix Film festival,1
Mecal Barcelona International Short and Animation Film Festival,1
"Media Film Festival, US",1
Medina Film Festival,1
Mei International Film Festival,1
Melbourne Documentary Film Festival,1
Melbourne Indie Film Festival,1
Melbourne Web Fest,1
Melrose Film Festival,1
Mestre Mateo Awards,1
Metro Manila Film Festival,1
Metropol'His Film Festival,1
Mexico City International Contemporary Film Festival,1
Mexico Film Festival Awards,1
MiMo Milano Mobile Film Festival,1
Miami Beach Film Festival,1
Miami Epic Film Festival,1
Miami International Gold Awards,1
Miami International Science Fiction Film Festival,1
Miami International Short Film Festival,1
Miami Jewish Film Festival,1
Micropolitan Film Festival,1
Mid Tenn Film Festival,1
Mid West Action fest,1
Middlebury New Filmmakers Festival,1
Midwest Monster Film Fest,1
Milan International Filmmaker Festival,1
Milano Indie Movie Award,1
Milestone International Film Festival,1
Milwaukee Film Festival,1
Minikino,1
Minnesota Web Fest,1
MiraBan UK Film Awards,1
Mise-en-scene Short Film Festival,1
Missoula International Wildlife Film Festival,1
Misty Flicks Film Festival,1
Mon Premier Festival,1
Monaco Streaming Film Festival,1
Monadnock International Film Festival (MONIFF),1
Monster Fest,1
Montecatini International Short Film Festival,1
Montréal Comedy Festival 'Just for Laughs',1
Morgana Film festival,1
Morton E. Ruderman Award,1
Mostra de València-Cinema del Mediterrani,1
Motor City Nightmares International Film Festival,1
Mount Shasta International Film Festival,1
Mountain Shadow Film Society,1
"Movie Heroes Awards, China",1
Muestra Internacional de Cine de Santo Domingo,1
Multi Dimension Independent Film Festival,1
Mumbai Film Festival,1
Mumbai Shorts International Film Festival,1
Muscat International Film Festival,1
Muse Creative Awards,1
"Music + Sound Awards, International",1
MyMrsTimeless,1
Münster Film Festival,1
NAFCA Awards,1
NAMM Technical Excellence and Creativity Awards,1
NBCUniversal Short Cuts Festival,1
NEW ERA FILM FESTIVAL,1
NEW YORK SCREENWRITING AWARDS,1
NEXTV Web Series & Indie Film Competition,1
NOIDENTITY International Action Film Festival,1
NSI Online Short Film Festival,1
NYC Mental Health Film Festival,1
NYCTV Festival,1
"NYLA International Film Festival, US",1
NYX Awards,1
"Nacogdoches Film Festival, US",1
Napierville Cinema Festival,1
NatFilm Festival,1
National Academy of TV Arts & Sciences - Boston/New England Chapter,1
National Cartoonist Society,1
National Film & TV Awards South Africa,1
National Film Festival for Talented Youth (NFFTY),1
National Youth Film Awards,1
Nature Without Borders International Film Festival,1
Near Nazareth Film Festival,1
Nettuno Video Shorts Festival,1
"Nevada City Film Festival, US",1
Nevermore Film Festival,1
New Delhi Film Festival,1
New Hampshire Film Festival,1
New Haven Film Fest,1
New Jersey International Festival,1
"New York Chinese Film Festival, US",1
New York City Horror Film Festival,1
New York City IO Film Festival,1
New York City International Screenplay Awards,1
New York City Short Film Festival,1
New York Indo-American Arts Council Film Festival,1
"New York International Children's Film Festival, US",1
New York International Film and TV Festival,1
New York Metropolitan International Screenwriting Competition,1
New York Monthly Film Festival,1
New York No Limits,1
New York Sephardi Jewish Film Festival,1
New York Shorts International Film Festival,1
New York True Venture Film Festival,1
NewFest: New York's LGBT Film Festival,1
Niagara Indie Filmfest,1
Nicholl Fellowships in Screenwriting,1
Nickel Independent Film and Video Festival,1
Night Terrors Film Festival,1
Nightmare in the Ozarks Film Festival,1
Nippon Connection Japanese Film Festival,1
Nitehawk Shorts Festival,1
Nitiin International Film Festival,1
No Country For Old Films,1
NoBudge Awards,1
Nocturna,1
Nocturna Madrid International Fantastic Film Festival,1
Noosa International Film Festival (NIFF),1
Normal Indy Horror Film Festival,1
Northern Horror Fest,1
Northwood Film Festival,1
Norwegian Short Film Festival,1
OUT at the Movies Int'l LGBT Film Fest,1
Oakville Festivals of Film and Art,1
Oasis Short Film Festival,1
Off-Courts Trouville,1
Offcine,1
Oklahoma Cine Latino Film Festival,1
Omaha Film Festival,1
Omni Intermedia Awards,1
One Voice Awards UK,1
One World International Human Rights Documentary Film Festival,1
Ontario International Film Festival,1
Open Window International Film Challenge,1
Orlando international film festival,1
Oslo Films from the South Festival,1
Oulu International Children's Film Festival,1
Out & Loud - Pune International Queer Film Festival,1
Out Film CT,1
Out of The Can Film Festival,1
Outfest Legacy Awards,1
"Oxford International Film Festival, UK",1
Oxford Script Awards,1
Oxford Shorts,1
Ozflix Independent Film Awards,1
PAGE International Screenwriting Awards,1
Palermo International Film Festival,1
Palm Beach Film Festival,1
Panamanian International Film Festival,1
Panic Fest,1
Paris Brazilian Film Festival,1
Paris Cine Fiesta,1
Paris Courts Devant,1
Paris Projection Courte,1
Paris Short Film Festival,1
Park City Film Music Festival,1
Pasadena Horror Film Festival,1
"Peace & Love Film Festival, Sweden",1
Pedro Sienna Awards,1
Peloponnesian International Film Festival (Bridges),1
Peninsula Short Film Festival,1
People's Artist of the Russian Federation,1
"People's Choice Awards, India",1
Philadelphia Arthouse Film Festival,1
Philadelphia Independent Film Awards,1
Philadelphia Unnamed Film Festival,1
Phoenix Fearcon,1
Phoenix Monthly Short Film Festival,1
Phoenix Rising International Film Festival,1
Phoenix Shorts,1
Pia Film Festival,1
Piccolo Grande Cinema,1
Picturegoer Awards,1
Pingyao International Film Festival,1
Pitch to Screen Film Awards,1
"Pittsburgh Independent Film Festival, US",1
Pittsburgh Shorts Film Festival,1
Plymouth Independent Film Festival,1
Polish Film Festival in America,1
"Political Film Society, USA",1
Poor Life Choices Comedy Film Festival,1
Popcorn Frights,1
Portland Screenplay Awards,1
Portugal International Film Festival,1
Post Alley Film Festival,1
Prague Film Awards,1
Prague Short Film Festival,1
Preis der Deutschen Filmkritik (Award of the German Film Critics),1
Premio Berenice,1
Premios Eres,1
Premios Macondo,1
Premios Pávez - Festival Nacional de Cortometrajes Talavera de la Reina,1
Premios Soberano,1
Prestige Film Festival,1
Prince of Asturias Awards,1
Prindie: Princeton Independent Film Festival,1
Prix Jean Vigo,1
Prix Patrick Dewaere,1
Prix de l'Age d'Or,1
Project UnLonely Films,1
Prêmio Abra de Roteiro,1
Pune Short Film Festival,1
QFest - San Antonio LGBT International Film Festival,1
Quebec City International Film Festival,1
Queen City Film Festival,1
Queen City Shorts,1
RS Film Fest,1
Rack Focus Film Festival,1
Rainier Independent Film Festival,1
Rajasthan International Film Festival,1
Rameshwaram International Film Festival,1
Ramsgate International Film & TV Festival,1
Raw Science Film Festival,1
ReFrame,1
ReadingFilmFEST,1
Real to Reel Film and Video Festival,1
Realtime International Film Festival,1
Recife Cinema Festival,1
Red Brick Road Film Festival,1
Red Sea International Film Festival,1
Redwood Film Festival,1
Reel Music Awards,1
Regard: Saguenay International Short Film Festival,1
Rencontres d'automne au Cinéma Gardanne,1
Renegade Film Festival,1
Requena y... ¡Acción!,1
Retro Avant Garde Film Festival,1
Reykjavik International Film Festival,1
Richmond Film Network,1
Richmond International Screenwriting & Film Festival,1
"Ridgewood Guild Film Festival, US",1
"Rincon International Film Festival, PR",1
Rio de Janeiro Film Critics Association,1
"River's Edge International Film Festival, US",1
Rochester ImageOut,1
Rock the Shorts Film Festival,1
Rocky Mountain Emmy Awards,1
Rome Film Awards,1
Rome Indie Film Fest,1
Rome Movie Awards,1
Rome Music Video Awards,1
"Rome Web Awards, Online",1
Rose d'Or Latinos,1
Roselle Park Loves Shorts International Film Festival,1
Roswell Cosmic-Con & Film Fest,1
Rouen Nordic Film Festival,1
Round The Globe Film & Music Festival,1
Route 66 Film Festival,1
Roving Eye International Film Festival,1
Roxbury International Film Festival,1
Royal Television Society Northern Ireland Awards,1
Royal Television Society Scotland Awards,1
SAMHSA Voice Awards,1
SINY Film Festival (Staten Island New York),1
SModCastle Film Festival,1
Saas Fee Filmfest,1
Sabaoth International Film Festival,1
Sacramento GAFFERS,1
Salento International Film Festival,1
Salerno Shadowline Film Festival,1
Salty Earth Film Festival,1
Salute Your Shorts Film Festival,1
San Antonio Horrific Film Festival,1
San Diego Asian Film Festival,1
San Francisco Global Movie Festival,1
San Francisco International Lesbian & Gay Film Festival,1
San Francisco Jewish Film Festival,1
San Joaquin International Film Festival,1
San Jose Independent Film Festival,1
Sant Cugat Fantàstic,1
Santa Barbara Indie Film Festival,1
Santa Barbara International Movie Awards,1
Santa Barbara International Screenplay Awards,1
Santa Clarita Valley Film Festival,1
Santa Cruz Independent Film Festival,1
"Santa Cruz International Film Festival, Argentina",1
Santa Fe International Film Festival,1
Santa Monica International Filmmaker Awards,1
Santiago International Film Festival - SANFIC,1
Santiago International Short Film Festival,1
Saskatchewan International Film Festival,1
Saskatoon Fantastic Film Festival,1
Scottish Independent Film Festival,1
Screen ATX,1
Screen Producers Australia Awards,1
ScreenCraft,1
ScreenXX Summit & Awards,1
Screenplay Festival,1
Script Symphony Award,1
Scriptamation,1
Seal Beach Film Festival,1
Seattle Asian American Film Festival,1
Seattle Queer Film Festival,1
Seattle Wine & Film Festival,1
Selby International Film Festival,1
Seoul International Film Festival,1
Setting Sun Short Film Festival,1
Sevilla Indie Film Festival,1
Shanghai Film Critics Awards,1
Sharjah International Children's Film Festival,1
Short CineFest,1
Short Shorts Film Festival & Asia,1
Short of the Month,1
Short+Sweet Film Festival,1
"Short. Sweet. Film Fest, US",1
Shortcutz Lisboa,1
Shortz! Film Festival,1
"ShowEast Convention, USA",1
Shärt International Comedy Film Festival,1
Sicily Art Cinema Festival,1
Sicily Independent Film Awards,1
Sicily Webfest,1
Signal Awards,1
"Silent River Film Festival, US",1
Silicon Valley African Film Festival,1
Silk Road International Film Festival China,1
Silk Road International Film Festival Ireland,1
Silver Wings International Film Festival,1
Silverlens Film Awards,1
Simply Indie Film Fest,1
Singapore World International Film Festival,1
Sinking Creek Film Festival,1
Sipontum Arthouse International Film Festival,1
Sir Movie Cultural And Entertainment Industry Award,1
Slash Film Festival,1
Slovene Film Festival,1
Smoky Mountain Film Festival,1
Snow Leopard International Film Festival,1
So You Think You can Act/Direct (SYTYCA),1
SoCal Creative and Innovative Film Festival,1
SoCal Film Awards,1
"Social Impact Media Awards, US",1
Socially Relevant Film Festival NY,1
Sofia Art Film Awards,1
Sofia Independent Film Festival,1
Sombre Festival de Cine Fantástico Europeo de Murcia,1
Sonoma Valley Film Festival,1
Souq Film Festival,1
South Bank Sky Arts Awards,1
South Georgia Film Festival,1
Southeast Emmy Awards,1
Southeast Regional EMMY Award,1
Southern Fried Flicks Film Festival,1
Sozvezdie,1
Spirit of Katharine Hepburn Award,1
Sportfilm Liberec,1
Spotlight Documentary Film Awards,1
Stanley Film Festival,1
Star Box Office India Awards,1
Star Gold Comedy Honors,1
Starburst Media City Film Festival,1
Stars Hollywood Festival,1
Stellar Short Film Festival,1
Stockholm Film & Television Festival,1
Stockholm independent film festival,1
Strasbourg International Film Festival,1
"Street Film Festival, Milan",1
Student Cuts Film Festival,1
Studio Hamburg Newcomer Award,1
Sun Valley Film Festival,1
Sundance Film Festival: London,1
Sunderland Shorts,1
Sunset Film Festival Los Angeles,1
Swedish Academy of Motion Picture Awards,1
Switzerland International Film Festival,1
Sydney Web Fest,1
TEFI,1
TITAN International Film Festival,1
TLVFest - The Tel Aviv International LGBT Film Festival,1
Tabriz Cinema Awards,1
Tallahassee Film Festival,1
Tally Shorts Film Festival,1
Tambay Film and Video Festival,1
Tampa International Gay and Lesbian Film Festival,1
Tampere Film Festival,1
Tasveer South Asian Film Festival,1
Tencent Video TV And Movie Award,1
Terra di Siena Film Festival,1
Texas Film Festival,1
Texas Short Film Festival,1
That Film Festival,1
The 48 Hour Film Project Filmapalooza,1
"The 48 Hour Film Project, Albuquerque",1
"The 48 Hour Film Project, Baltimore, US",1
"The 48 Hour Film Project, Berlin",1
"The 48 Hour Film Project, Boston, US",1
"The 48 Hour Film Project, St. Louis, US",1
The African Diaspora Cinema Festival,1
The Americas Film Festival of New York,1
The Atlantis Awards,1
The Attic Film Festival,1
The Buddha International Film Festival,1
The Bushwick Film Festival,1
The CAFTCAD awards,1
The Chico Independent Film Festival,1
The Dallas Movie Awards Festival,1
The Detroit Trinity International Film Festival,1
The Festival Pantalla de Cristal,1
The Film Series at Cine Gear Expo - A Tribute to the Visual Art of Filmmaking,1
The Florida Comedy Film Festival,1
The Golden Script Competition,1
The Heller Awards,1
The Howling Wolf International Film Festival,1
The London Comedy Film Festival (LOCO),1
The Madrid International Film Festival,1
The Movie Music International - Recognition Awards,1
The North Film Festival,1
The North Film Festival - New York City,1
The Optical Theatre Festival,1
The Psychedelic Film and Music Festival,1
"The Queen City Film Fest, US",1
The Ray Harryhausen Awards,1
The ReelGood Film Festival,1
The SACF Artist of the Year Awards,1
The Seoul Guro International Kids Film Festival,1
The Singapore International Competition,1
The Soho London Independent Film Festival,1
The Strange Days Horror Fest,1
The TV Fest,1
The Venus Italian International Film Festival,1
Thin Line Festival,1
Third Eye Asian Film Festival,1
This is England Film Festival Rouen,1
Three Minutes Video Competition,1
Tietê International Film Awards,1
"Tirana International Film Festival, AL",1
Titanic International Film Festival,1
Tokyo Cinema Awards,1
Tokyo FILMeX,1
Top of the South Film Festival,1
Topanga Film Festival,1
Toronto Arthouse Film Festival,1
Toronto Female Eye Film Festival,1
Toronto Film Magazine Fest,1
Toronto Independent Film Awards,1
Toronto International Spring of Horror and Fantasy Film Festival,1
Toronto Planet Indie Fest,1
Toronto ReelWorld Film Festival,1
Toronto Shorts International Film Festival,1
Toronto Worldwide Short Film Festival,1
Touchstone Independent Film Festival,1
Trenton Film Festival,1
Tri-Cities International Film Festival,1
Trophées du Film français,1
Tucson Terrorfest,1
Tupelo Film Festival,1
Twelve Lions Film Festival,1
Twin Falls Sandwiches Film Festival,1
Two Riversides Film and Art Festival,1
UK Offline Web Fest,1
UK Screen One International Film Festival,1
UK Seasonal Short Film Festival,1
"Unasur Cine International Film Festival, Argentina",1
Underexposed Film Festival yc,1
Underground Monster Carnival,1
United States Film Festival,1
Upper Midwest Regional Emmy Awards - National Academy of Television Arts & Sciences,1
Uppsala International Short Film Festival,1
Upstate NY Horror Film Festival,1
Uranium International Film Festival,1
Urban Mediamakers Film Festival,1
Urbanworld Film Festival,1
Ursa Major Award,1
Uruguayan Film Critics Association,1
V Shantaram Awards,1
V.i.Z Film Fest,1
Valdarno Cinema Film Festival,1
Valleyfest Film Festival,1
Vancouver Asian Film Festival,1
Vancouver International Film Awards,1
Vancouver Short Film Festival,1
Variety's Power of Women Awards,1
Various Artists independent Film Festival (VAiFF),1
Vaughan Film Festival,1
Vegas Cine Fest,1
Vegas Shorts Festival,1
Venezia Shorts,1
Venus on Broadway International Film Festival,1
Veterans Film Festival,1
Victoria TX Indie Film Fest,1
Victory International Film Festival,1
Viddy Awards,1
Video Software Dealers Association,1
Viennale,1
Vila do Conde International Short Film Festival,1
Vilnius International Film Festival,1
Vision Splendid Outback Film Festival,1
Vitória Cine Vídeo,1
Västeras Film Festival,1
WILDsound Festival,1
WIND International Film Festival,1
WRPNSC Screenplay Competition,1
WSXA International Film Awards,1
Walk of the Stars,1
War of Films,1
Warsaw Independent Film Festival,1
Washington DC Independent Film Festival,1
Wasteland Film Festival,1
Web Series Festival Global,1
Webby awards,1
Weekend Horror,1
West Australian Screen Awards,1
West Virginia Filmmakers Film Festival,1
Wexford Film Festival,1
White Pearl International Film Festival,1
White Vulture Film Festival,1
WideScreen Film & Music Video Festival,1
Wild Rivers Film Festival,1
Wildlife Conservation Film Festival (WCFF),1
Wildsound Feedback Writing and Film Festival,1
Windsor International Film Festival,1
Wizard World Oregon Comic Con Film Festival,1
Wolverhampton Film Festival,1
Women in Horror Film Festival,1
Women's Independent Film Festival,1
Women's International Film Festival,1
World Class Film Awards,1
World Humanitarian Awards,1
World independent Cinema awards Los Angeles (WICA LA) & film fest international,1
World of Film International Festival Glasgow (WOFF),1
World's Best Filmmaker Award,1
WorldFest Charleston,1
WorldFest Flagstaff,1
WorldFest-Houston International Film Fest,1
Writer's Guild of Ireland Zebbie Awards,1
"X-Rated Critics' Organization, USA",1
YETI FilmFest,1
YoFi Fest,1
"Young Critics Circle, Philippines",1
Yubari International Fantastic Film Festival,1
Zeal International Film Festival,1
Zero Film Festival,1
"Zoom Festival, Spain",1
Zoom Glam Awards,1
accordi @ DISACCORDI - International Short Film Festival,1
deadCenter Film Festival,1
e4m Play Streaming Media Awards,1
iPhone Film Festival,1
qFLIX Philadelphia,1
